,Game ID,thirdDownEff,completionAttempts,yardsPerPass,rushingYards
1538,401554566,0.3333333333333333,0.4117647058823529,5.4,144
1541,401551788,0.3636363636363636,0.5581395348837209,7.4,180
1540,401551786,0.2307692307692308,0.6956521739130435,5.0,172
1539,401551778,0.4,0.675,9.5,128
1537,401551766,0.3636363636363636,0.5714285714285714,10.9,92
1536,401551762,0.3333333333333333,0.6451612903225806,5.8,130
1534,401551756,0.3076923076923077,0.5526315789473685,5.8,82
1528,401551751,0.3125,0.4814814814814815,5.7,92
1535,401551749,0.3636363636363636,0.6,10.6,73
1533,401551744,0.3333333333333333,0.6428571428571429,5.2,138
1531,401551741,0.5,0.5333333333333333,8.3,101
1532,401551739,0.25,0.5789473684210527,6.3,89
1529,401551731,0.2727272727272727,0.6,4.4,183
1530,401551469,0.5,0.5909090909090909,5.6,196
1526,401539483,0.3333333333333333,0.7241379310344828,8.4,78
1525,401539475,0.3,0.6176470588235294,7.0,124
1501,401532629,0.4117647058823529,0.3863636363636364,4.6,337
1514,401532628,0.4545454545454545,0.6551724137931034,7.9,182
1524,401532626,0.5333333333333333,0.6842105263157895,8.3,108
1502,401532625,0.3571428571428572,0.4444444444444444,7.3,206
1490,401532624,0.2142857142857143,0.3333333333333333,6.7,344
1499,401532622,0.3076923076923077,0.5625,6.1,34
1469,401532617,0.3571428571428572,0.76,5.1,145
1447,401532612,0.3888888888888889,0.65,6.6,121
1452,401532608,0.5,0.5217391304347826,6.8,177
1421,401532606,0.5,0.6,7.7,156
1404,401532601,0.0,0.4285714285714285,3.4,157
1398,401532599,0.4375,0.6363636363636364,7.1,137
1375,401532598,0.6,0.6,8.5,109
1377,401532595,0.5,0.6041666666666666,8.9,53
1363,401532594,0.2307692307692308,0.575,9.1,205
1376,401532593,0.3636363636363636,0.625,5.8,246
1358,401532592,0.3333333333333333,0.6052631578947368,8.6,104
1356,401532591,0.4666666666666667,0.6521739130434783,6.2,38
1291,401532583,0.5384615384615384,0.7391304347826086,11.9,166
1270,401532574,0.3888888888888889,0.5869565217391305,5.1,133
1249,401532571,0.4666666666666667,0.492063492063492,5.1,22
1503,401532454,0.1538461538461539,0.7368421052631579,4.8,274
1473,401532445,0.631578947368421,0.7419354838709677,7.7,75
1474,401532443,0.3529411764705883,0.5652173913043478,6.7,95
1453,401532437,0.3,0.5357142857142857,5.0,174
1424,401532436,0.3571428571428572,0.6521739130434783,10.0,117
1423,401532435,0.5333333333333333,0.4736842105263158,3.5,217
1422,401532433,0.0,0.5714285714285714,8.5,208
1383,401532428,0.2727272727272727,0.7142857142857143,6.9,79
1396,401532427,0.4666666666666667,0.4722222222222222,5.6,97
1389,401532426,0.5,0.5384615384615384,5.8,106
1388,401532425,0.2307692307692308,0.6129032258064516,5.2,99
1369,401532420,0.2307692307692308,0.4705882352941176,3.6,70
1367,401532419,0.3571428571428572,0.25,2.4,168
1323,401532412,0.1818181818181818,0.6785714285714286,4.9,117
1329,401532411,0.2,0.6774193548387096,8.3,186
1324,401532410,0.5,0.7692307692307693,7.2,155
1284,401532403,0.4444444444444444,0.5714285714285714,5.4,40
1261,401532401,0.4545454545454545,0.8,8.8,97
1262,401532399,0.125,0.4545454545454545,4.6,79
1255,401532397,0.5,0.6052631578947368,7.8,63
1254,401532396,0.4285714285714285,0.6153846153846154,9.5,45
1232,401532392,0.4117647058823529,0.5098039215686274,5.5,111
1521,401531928,0.4666666666666667,0.8,8.9,77
1510,401531925,0.3157894736842105,0.7222222222222222,5.6,97
1487,401531921,0.3333333333333333,0.7435897435897436,7.2,66
1483,401531918,0.4,0.5869565217391305,6.3,61
1493,401531917,0.4666666666666667,0.5714285714285714,6.7,121
1468,401531916,0.1538461538461539,0.5357142857142857,6.6,116
1470,401531914,0.2631578947368421,0.5178571428571429,5.5,77
1466,401531912,0.375,0.5263157894736842,4.3,199
1455,401531911,0.2666666666666667,0.631578947368421,6.8,130
1438,401531907,0.3076923076923077,0.5714285714285714,6.1,173
1419,401531900,0.5,0.7222222222222222,7.7,138
1401,401531897,0.3888888888888889,0.5172413793103449,4.3,165
1400,401531895,0.2142857142857143,0.6875,7.9,127
1374,401531891,0.2142857142857143,0.6363636363636364,6.8,135
1361,401531888,0.2727272727272727,0.5806451612903226,9.8,111
1354,401531886,0.375,0.5769230769230769,6.4,110
1349,401531884,0.4,0.75,8.2,204
1335,401531882,0.2727272727272727,0.6666666666666666,9.9,203
1327,401531881,0.2307692307692308,0.4782608695652174,4.1,339
1322,401531880,0.2777777777777778,0.56,6.0,27
