,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
2,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
4,401117854,UCLA,26,loser,14,12.0,0.35294117647058826,0.0,218.0,156.0,0.3076923076923077,6.0,62.0,36.0,1.7,9,60,4.0,2.0,2.0,21:33
6,401119254,Morgan St,2415,loser,3,4.0,0.16666666666666666,0.0,70.0,24.0,0.3333333333333333,2.7,46.0,31.0,1.5,6,43,1.0,1.0,0.0,21:53
8,401117855,Wagner,2681,loser,21,12.0,0.1,1.0,185.0,82.0,0.5217391304347826,3.6,103.0,21.0,4.9,10,86,0.0,0.0,0.0,24:07
10,401119255,Robert Morris,2523,loser,10,11.0,0.4,1.0,240.0,92.0,0.7777777777777778,10.2,148.0,45.0,3.3,8,69,1.0,1.0,0.0,32:49
13,401114246,Western KY,98,loser,28,22.0,0.5625,0.0,488.0,304.0,0.6666666666666666,7.8,184.0,35.0,5.3,6,49,2.0,0.0,2.0,35:11
14,401135910,Gardner-Webb,2241,loser,28,11.0,0.1,1.0,219.0,60.0,0.35294117647058826,3.5,159.0,35.0,4.5,8,52,1.0,1.0,0.0,22:21
16,401117853,Florida A&M,50,loser,0,8.0,0.16666666666666666,0.0,96.0,92.0,0.3888888888888889,2.6,4.0,25.0,0.2,12,106,0.0,0.0,0.0,28:57
18,401114237,Alabama St,2011,loser,19,12.0,0.2,0.3333333333333333,260.0,115.0,0.59375,3.6,145.0,32.0,4.5,6,48,2.0,1.0,1.0,28:09
