,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
1,401110723,Florida,57,winner,24,17.0,0.2,1.0,304.0,254.0,0.6296296296296297,9.4,50.0,28.0,1.8,9,100,4.0,2.0,2.0,23:47
2,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
3,401114164,Hawai’i,62,winner,45,31.0,0.5,0.6666666666666666,595.0,436.0,0.7083333333333334,9.1,159.0,30.0,5.3,7,54,6.0,2.0,4.0,37:56
4,401117854,UCLA,26,loser,14,12.0,0.35294117647058826,0.0,218.0,156.0,0.3076923076923077,6.0,62.0,36.0,1.7,9,60,4.0,2.0,2.0,21:33
5,401117854,Cincinnati,2132,winner,24,23.0,0.5,0.0,417.0,242.0,0.6923076923076923,9.3,175.0,49.0,3.6,10,63,2.0,1.0,1.0,38:27
6,401119254,Morgan St,2415,loser,3,4.0,0.16666666666666666,0.0,70.0,24.0,0.3333333333333333,2.7,46.0,31.0,1.5,6,43,1.0,1.0,0.0,21:53
7,401119254,Bowling Green,189,winner,46,37.0,0.5294117647058824,0.6666666666666666,620.0,294.0,0.6578947368421053,7.7,326.0,63.0,5.2,7,70,1.0,0.0,1.0,38:07
8,401117855,Wagner,2681,loser,21,12.0,0.1,1.0,185.0,82.0,0.5217391304347826,3.6,103.0,21.0,4.9,10,86,0.0,0.0,0.0,24:07
9,401117855,UConn,41,winner,24,26.0,0.38461538461538464,0.0,392.0,158.0,0.6666666666666666,7.5,234.0,60.0,3.9,7,68,2.0,1.0,1.0,35:53
10,401119255,Robert Morris,2523,loser,10,11.0,0.4,1.0,240.0,92.0,0.7777777777777778,10.2,148.0,45.0,3.3,8,69,1.0,1.0,0.0,32:49
11,401119255,Buffalo,2084,winner,38,21.0,0.6363636363636364,0.0,354.0,69.0,0.5,6.9,285.0,47.0,6.1,4,35,1.0,1.0,0.0,27:11
12,401114246,Cent Arkansas,2110,winner,35,17.0,0.38461538461538464,0.5,424.0,404.0,0.7241379310344828,13.9,20.0,29.0,0.7,6,46,0.0,0.0,0.0,24:49
13,401114246,Western KY,98,loser,28,22.0,0.5625,0.0,488.0,304.0,0.6666666666666666,7.8,184.0,35.0,5.3,6,49,2.0,0.0,2.0,35:11
14,401135910,Gardner-Webb,2241,loser,28,11.0,0.1,1.0,219.0,60.0,0.35294117647058826,3.5,159.0,35.0,4.5,8,52,1.0,1.0,0.0,22:21
15,401135910,Charlotte,2429,winner,49,27.0,0.5,0.5,508.0,186.0,0.6428571428571429,6.6,322.0,46.0,7.0,4,25,3.0,0.0,3.0,37:39
16,401117853,Florida A&M,50,loser,0,8.0,0.16666666666666666,0.0,96.0,92.0,0.3888888888888889,2.6,4.0,25.0,0.2,12,106,0.0,0.0,0.0,28:57
17,401117853,UCF,2116,winner,62,42.0,0.4375,1.0,694.0,356.0,0.6052631578947368,9.4,338.0,56.0,6.0,7,65,0.0,0.0,0.0,31:03
18,401114237,Alabama St,2011,loser,19,12.0,0.2,0.3333333333333333,260.0,115.0,0.59375,3.6,145.0,32.0,4.5,6,48,2.0,1.0,1.0,28:09
19,401114237,UAB,5,winner,24,16.0,0.07692307692307693,0.0,290.0,114.0,0.4,5.7,176.0,46.0,3.8,8,72,2.0,2.0,0.0,31:51
20,401114236,Florida Intl,2229,loser,14,16.0,0.4166666666666667,0.0,267.0,208.0,0.5588235294117647,6.1,59.0,26.0,2.3,4,35,2.0,1.0,1.0,26:18
21,401114236,Tulane,2655,winner,42,28.0,0.5833333333333334,0.0,545.0,195.0,0.7894736842105263,10.3,350.0,49.0,7.1,12,103,1.0,1.0,0.0,33:42
22,401111653,Georgia Tech,59,loser,14,13.0,0.3125,0.0,294.0,137.0,0.3888888888888889,7.6,157.0,45.0,3.5,2,10,4.0,2.0,2.0,26:47
23,401111653,Clemson,228,winner,52,29.0,0.5,0.5,632.0,221.0,0.6,7.4,411.0,49.0,8.4,6,43,3.0,1.0,2.0,33:13
24,401110731,Texas St,326,loser,7,15.0,0.4,0.0,219.0,211.0,0.6304347826086957,4.6,8.0,15.0,0.5,4,24,4.0,0.0,4.0,24:14
25,401110731,Texas A&M,245,winner,41,22.0,0.5454545454545454,0.0,478.0,232.0,0.6388888888888888,6.4,246.0,36.0,6.8,3,30,2.0,1.0,1.0,35:46
26,401119253,Albany,399,loser,21,13.0,0.23076923076923078,0.6666666666666666,244.0,199.0,0.5172413793103449,6.9,45.0,22.0,2.0,4,30,1.0,1.0,0.0,23:22
27,401119253,C Michigan,2117,winner,38,31.0,0.46153846153846156,1.0,529.0,285.0,0.7297297297297297,7.7,244.0,47.0,5.2,11,87,3.0,3.0,0.0,36:38
28,401112229,South Dakota St,2571,loser,21,23.0,0.3333333333333333,0.5,367.0,193.0,0.5,7.4,174.0,34.0,5.1,4,32,2.0,1.0,1.0,27:48
29,401112229,Minnesota,135,winner,28,17.0,0.46153846153846156,1.0,308.0,176.0,0.7222222222222222,9.8,132.0,42.0,3.1,3,40,1.0,0.0,1.0,32:12
30,401117493,N Colorado,2458,loser,18,20.0,0.35,0.75,287.0,177.0,0.5909090909090909,4.0,110.0,41.0,2.7,6,50,2.0,0.0,2.0,36:39
31,401117493,San Jose State,23,winner,35,22.0,0.45454545454545453,1.0,382.0,224.0,0.6774193548387096,7.2,158.0,33.0,4.8,8,75,1.0,1.0,0.0,23:21
32,401114153,Kent State,2309,loser,7,11.0,0.2777777777777778,0.5,200.0,80.0,0.5,3.3,120.0,40.0,3.0,5,42,2.0,2.0,0.0,25:37
33,401114153,Arizona St,9,winner,30,18.0,0.5,0.0,455.0,284.0,0.625,11.8,171.0,46.0,3.7,6,50,1.0,1.0,0.0,34:23
34,401114223,Utah,254,winner,30,21.0,0.25,0.5,368.0,106.0,0.8125,6.6,262.0,48.0,5.5,7,64,0.0,0.0,0.0,35:58
35,401114223,BYU,252,loser,12,14.0,0.5,0.0,300.0,208.0,0.6363636363636364,6.3,92.0,22.0,4.2,7,63,3.0,1.0,2.0,24:02
36,401114238,Rice,242,loser,7,10.0,0.2727272727272727,0.0,243.0,62.0,0.5,4.4,181.0,30.0,6.0,3,20,0.0,0.0,0.0,25:09
37,401114238,Army,349,winner,14,17.0,0.6,0.5,284.0,53.0,0.375,6.6,231.0,56.0,4.1,4,26,1.0,1.0,0.0,34:51
38,401112212,Tulsa,202,loser,7,8.0,0.18181818181818182,0.0,80.0,153.0,0.5925925925925926,5.7,-73.0,25.0,-2.9,8,80,3.0,2.0,1.0,23:54
39,401112212,Michigan St,127,winner,28,18.0,0.3157894736842105,0.25,303.0,195.0,0.5789473684210527,5.1,108.0,40.0,2.7,14,122,0.0,0.0,0.0,36:06
40,401112264,UMass,113,loser,21,19.0,0.4117647058823529,0.3333333333333333,304.0,121.0,0.5945945945945946,3.3,183.0,34.0,5.4,8,90,2.0,0.0,2.0,23:54
41,401112264,Rutgers,164,winner,48,24.0,0.5,1.0,554.0,348.0,0.6875,10.9,206.0,43.0,4.8,7,80,3.0,0.0,3.0,36:06
