,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
0,0,401635525,2024,1,regular,2024-08-24T16:00:00.000Z,False,True,True,True,,3504,Aviva Stadium,59,Georgia Tech,fbs,ACC,24.0,"[7, 7, 0, 10]",0.9913955304658812,1497,1513.0,52,Florida State,fbs,ACC,21.0,"[8, 6, 0, 7]",0.0086044695341188,1692.0,1676.0,7.822223962,,Aer Lingus College Football Classic,3.0,True
1,1,401643697,2024,1,regular,2024-08-24T20:00:00.000Z,False,True,False,False,,3971,University Stadium (NM),167,New Mexico,fbs,Mountain West,31.0,"[10, 14, 7, 0]",0.3011006664851476,1234,1234.0,147,Montana State,fcs,Big Sky,35.0,"[0, 14, 0, 21]",0.6988993335148523,,,4.9273181699,,,-4.0,True
2,2,401643696,2024,1,regular,2024-08-25T00:00:00.000Z,False,True,False,False,,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,24.0,"[7, 10, 7, 0]",0.1027094743544201,1222,1243.0,2567,SMU,fbs,ACC,29.0,"[0, 10, 3, 16]",0.8972905256455799,1690.0,1669.0,7.6714922497,,,-5.0,True
16,16,401628448,2024,1,regular,2024-08-30T00:00:00.000Z,False,True,False,False,,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,17.0,"[0, 14, 0, 3]",0.8741646700190268,1492,1492.0,153,North Carolina,fbs,ACC,19.0,"[0, 7, 6, 6]",0.1258353299809732,1546.0,1546.0,8.3966898321,,,-2.0,True
17,17,401634206,2024,1,regular,2024-08-30T00:00:00.000Z,False,True,False,False,,3726,Folsom Field,38,Colorado,fbs,Big 12,31.0,"[14, 3, 7, 7]",0.3704693385585345,1324,1324.0,2449,North Dakota State,fcs,MVFC,26.0,"[10, 10, 0, 6]",0.6295306614414655,,,6.0376176228,,,5.0,True
26,26,401628453,2024,1,regular,2024-08-30T23:00:00.000Z,False,True,False,False,,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,16.0,"[2, 14, 0, 0]",0.8569259339139759,1392,1401.0,2226,Florida Atlantic,fbs,American Athletic,10.0,"[0, 3, 7, 0]",0.1430740660860241,1422.0,1413.0,6.7849495035,,,6.0,True
30,30,401634300,2024,1,regular,2024-08-31T02:30:00.000Z,False,True,False,False,,3940,Stanford Stadium,24,Stanford,fbs,ACC,27.0,"[7, 10, 0, 10]",0.1076928758441394,1286,1295.0,2628,TCU,fbs,Big 12,34.0,"[7, 3, 10, 14]",0.8923071241558606,1587.0,1578.0,9.2635770293,,,-7.0,True
39,39,401628333,2024,1,regular,2024-08-31T16:00:00.000Z,False,True,False,False,,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,34.0,"[3, 14, 3, 7, 7]",0.9759708097958584,1284,1313.0,259,Virginia Tech,fbs,ACC,27.0,"[0, 3, 10, 14, 0]",0.0240291902041417,1604.0,1575.0,7.7799416184,,,7.0,True
51,51,401644683,2024,1,regular,2024-08-31T19:30:00.000Z,False,True,True,False,,5960,Lanny and Sharon Martin Stadium,77,Northwestern,fbs,Big Ten,13.0,"[3, 0, 7, 3]",0.9619988723257636,1498,1514.0,193,Miami (OH),fbs,Mid-American,6.0,"[3, 0, 0, 3]",0.0380011276742364,1506.0,1490.0,5.8551319837,,,7.0,True
59,59,401628329,2024,1,regular,2024-08-31T20:15:00.000Z,False,True,False,False,,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,23.0,"[10, 3, 3, 7]",0.8387262463535545,1562,1560.0,295,Old Dominion,fbs,Sun Belt,19.0,"[7, 0, 9, 3]",0.1612737536464454,1406.0,1408.0,9.802219213,,,4.0,True
68,68,401641023,2024,1,regular,2024-08-31T23:00:00.000Z,False,True,False,False,,3725,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,fbs,Conference USA,32.0,"[7, 14, 0, 11]",0.7402551979282983,1400,1400.0,2635,Tennessee Tech,fcs,Big South-OVC,25.0,"[0, 5, 6, 14]",0.2597448020717017,,,5.8962989451,,,7.0,True
70,70,401632064,2024,1,regular,2024-08-31T23:00:00.000Z,False,True,False,False,,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,34.0,"[6, 7, 7, 14]",0.1095399677899532,1406,1406.0,2110,Central Arkansas,fcs,UAC,31.0,"[0, 0, 10, 21]",0.8904600322100468,,,7.5174077459,,,3.0,True
77,77,401643701,2024,1,regular,2024-08-31T23:00:00.000Z,False,True,False,False,,3975,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,26.0,"[7, 7, 3, 9]",0.2363178696562551,1657,1629.0,2440,Nevada,fbs,Mountain West,28.0,"[0, 6, 15, 7]",0.7636821303437449,1243.0,1271.0,5.7519487887,,,-2.0,True
81,81,401628459,2024,1,regular,2024-08-31T23:30:00.000Z,False,True,False,False,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,13.0,"[7, 3, 3, 0]",0.4761071705107386,1227,1242.0,26,UCLA,fbs,Big Ten,16.0,"[0, 0, 10, 6]",0.5238928294892613,1568.0,1553.0,7.9405032105,,,-3.0,True
84,84,401636613,2024,1,regular,2024-08-31T23:30:00.000Z,False,True,False,False,,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,52.0,"[22, 10, 7, 6, 7]",0.2697185698282507,1541,1541.0,2000,Abilene Christian,fcs,UAC,51.0,"[7, 14, 7, 17, 6]",0.7302814301717493,,,6.7717431708,,,1.0,True
90,90,401643776,2024,1,regular,2024-09-01T00:00:00.000Z,False,True,False,False,,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,34.0,"[15, 3, 3, 13]",0.9946288599523694,1399,1399.0,2320,Lamar,fcs,Southland,27.0,"[0, 0, 10, 17]",0.0053711400476306,,,5.2879661321,,,7.0,True
93,93,401641007,2024,1,regular,2024-09-01T00:00:00.000Z,False,True,False,False,,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,25.0,"[9, 6, 0, 10]",0.9450183889148044,1246,1246.0,2447,Nicholls,fcs,Southland,17.0,"[7, 3, 0, 7]",0.0549816110851957,,,8.1544022522,,,8.0,True
94,94,401641032,2024,1,regular,2024-09-01T01:00:00.000Z,False,True,False,False,,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,23.0,"[0, 10, 0, 13]",0.8243471003450671,1432,1432.0,2546,Southeast Missouri State,fcs,Big South-OVC,16.0,"[7, 3, 3, 3]",0.1756528996549329,,,9.7322611515,,,7.0,True
98,98,401628334,2024,1,regular,2024-09-01T23:30:00.000Z,False,True,True,False,,6501,Allegiant Stadium,99,LSU,fbs,SEC,20.0,"[0, 10, 7, 3]",0.4234749874329003,1823,1803.0,30,USC,fbs,Big Ten,27.0,"[0, 10, 3, 14]",0.5765250125670998,1648.0,1668.0,6.9147509026,,Modelo Vegas Kickoff Classic,-7.0,True
101,101,401634765,2024,2,regular,2024-09-06T23:00:00.000Z,False,True,False,False,,3735,Gerald J. Ford Stadium,2567,SMU,fbs,ACC,15.0,"[0, 9, 3, 3]",0.0391205554302911,1669,1648.0,252,BYU,fbs,Big 12,18.0,"[7, 0, 8, 3]",0.9608794445697088,1409.0,1430.0,8.4924627245,,,-3.0,True
102,102,401635533,2024,2,regular,2024-09-07T01:00:00.000Z,False,True,True,False,,5960,Lanny and Sharon Martin Stadium,77,Northwestern,fbs,Big Ten,20.0,"[3, 7, 0, 3, 7, 0]",0.158495901167358,1514,1514.0,150,Duke,fbs,ACC,26.0,"[7, 0, 3, 3, 7, 6]",0.841504098832642,1602.0,1602.0,9.2114436326,,,-6.0,True
103,103,401635534,2024,2,regular,2024-09-07T16:00:00.000Z,False,True,False,True,,1964,JMA Wireless Dome,183,Syracuse,fbs,ACC,31.0,"[7, 14, 3, 7]",0.6174217943538339,1383,1386.0,59,Georgia Tech,fbs,ACC,28.0,"[7, 7, 0, 14]",0.382578205646166,1559.0,1556.0,5.3837781031,,,3.0,True
104,104,401636616,2024,2,regular,2024-09-07T16:00:00.000Z,False,True,False,False,,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,27.0,"[7, 13, 0, 7]",0.3875145671050454,1565,1569.0,2306,Kansas State,fbs,Big 12,34.0,"[3, 7, 10, 14]",0.6124854328949545,1794.0,1790.0,7.0148296845,,,-7.0,True
108,108,401628336,2024,2,regular,2024-09-07T16:00:00.000Z,False,True,False,False,,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,39.0,"[0, 7, 6, 18, 0, 8]",0.0804305941435552,1522,1530.0,8,Arkansas,fbs,SEC,31.0,"[14, 7, 0, 10, 0, 0]",0.9195694058564448,1454.0,1446.0,9.092680782,,,8.0,True
112,112,401635538,2024,2,regular,2024-09-07T16:00:00.000Z,False,True,False,False,,3854,Nippert Stadium,2132,Cincinnati,fbs,Big 12,27.0,"[14, 3, 10, 0]",0.3261470669566286,1394,1397.0,221,Pittsburgh,fbs,ACC,28.0,"[3, 3, 7, 15]",0.6738529330433713,1486.0,1483.0,5.5384302431,,,-1.0,True
113,113,401628470,2024,2,regular,2024-09-07T16:00:00.000Z,False,True,False,False,,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,34.0,"[7, 13, 7, 7]",0.9428297745600484,1861,1848.0,189,Bowling Green,fbs,Mid-American,27.0,"[10, 14, 0, 3]",0.0571702254399516,1431.0,1444.0,6.8874767798,,,7.0,True
115,115,401634181,2024,2,regular,2024-09-07T18:00:00.000Z,False,True,False,False,,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,42.0,"[0, 7, 7, 28]",0.6619454952329824,1341,1341.0,2623,Missouri State,fcs,MVFC,34.0,"[7, 0, 7, 20]",0.3380545047670176,,,6.7901448981,,,8.0,True
117,117,401644732,2024,2,regular,2024-09-07T18:30:00.000Z,False,True,False,False,,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,17.0,"[0, 14, 0, 3]",0.0089575247777635,1096,1096.0,2598,St. Francis (PA),fcs,NEC,23.0,"[10, 10, 3, 0]",0.9910424752222364,,,4.3403909128,,,-6.0,True
119,119,401628337,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,False,,3785,Jordan-Hare Stadium,2,Auburn,fbs,SEC,14.0,"[7, 0, 0, 7]",0.2525169316190977,1556,1537.0,25,California,fbs,ACC,21.0,"[7, 7, 0, 7]",0.7474830683809023,1483.0,1502.0,6.8038045019,,,-7.0,True
121,121,401628464,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,False,,3793,Kinnick Stadium,2294,Iowa,fbs,Big Ten,19.0,"[7, 6, 6, 0]",0.2246827413451105,1550,1552.0,66,Iowa State,fbs,Big 12,20.0,"[0, 0, 14, 6]",0.7753172586548894,1612.0,1610.0,8.5704413795,,,-1.0,True
123,123,401628465,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,True,,3665,SECU Stadium,120,Maryland,fbs,Big Ten,24.0,"[14, 0, 3, 7]",0.5134079056281101,1703,1679.0,127,Michigan State,fbs,Big Ten,27.0,"[7, 10, 0, 10]",0.4865920943718899,1401.0,1425.0,8.2782012973,,,-3.0,True
128,128,401628977,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,False,,3855,Notre Dame Stadium,87,Notre Dame,fbs,FBS Independents,14.0,"[7, 0, 7, 0]",0.2227672032830461,1888,1858.0,2459,Northern Illinois,fbs,Mid-American,16.0,"[10, 3, 0, 3]",0.7772327967169539,1446.0,1476.0,4.9100949395,,,-2.0,True
129,129,401643710,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,False,,3984,War Memorial Stadium,2751,Wyoming,fbs,Mountain West,13.0,"[10, 0, 0, 3]",0.4178541664492569,1369,1369.0,70,Idaho,fcs,Big Sky,17.0,"[7, 10, 0, 0]",0.5821458335507431,,,7.4414261271,,,-4.0,True
136,136,401643778,2024,2,regular,2024-09-07T22:00:00.000Z,False,True,False,False,,3918,S.B. Ballard Stadium,295,Old Dominion,fbs,Sun Belt,14.0,"[0, 7, 7, 0]",0.2667223913181304,1408,1397.0,151,East Carolina,fbs,American Athletic,20.0,"[6, 0, 11, 3]",0.7332776086818695,1404.0,1415.0,7.2626005857,,,-6.0,True
