Id,HomeTeam,HomePoints,AwayTeam,AwayPoints
401635525,Georgia Tech,24.0,Florida State,21.0
401643697,New Mexico,31.0,Montana State,35.0
401643696,Nevada,24.0,SMU,29.0
401634206,Colorado,31.0,North Dakota State,26.0
401628448,Minnesota,17.0,North Carolina,19.0
401628453,Michigan State,16.0,Florida Atlantic,10.0
401634300,Stanford,27.0,TCU,34.0
401628333,Vanderbilt,34.0,Virginia Tech,27.0
401644683,Northwestern,13.0,Miami (OH),6.0
401628329,South Carolina,23.0,Old Dominion,19.0
401641023,Middle Tennessee,32.0,Tennessee Tech,25.0
401632064,Arkansas State,34.0,Central Arkansas,31.0
401643701,Troy,26.0,Nevada,28.0
401636613,Texas Tech,52.0,Abilene Christian,51.0
401628459,Hawai'i,13.0,UCLA,16.0
401643776,Texas State,34.0,Lamar,27.0
401641007,Louisiana Tech,25.0,Nicholls,17.0
401641032,New Mexico State,23.0,Southeast Missouri State,16.0
401628334,LSU,20.0,USC,27.0
401634765,SMU,15.0,BYU,18.0
401635533,Northwestern,20.0,Duke,26.0
401635534,Syracuse,31.0,Georgia Tech,28.0
401636616,Tulane,27.0,Kansas State,34.0
401628336,Oklahoma State,39.0,Arkansas,31.0
401635538,Cincinnati,27.0,Pittsburgh,28.0
401628470,Penn State,34.0,Bowling Green,27.0
401634181,Ball State,42.0,Missouri State,34.0
401644732,Kent State,17.0,St. Francis (PA),23.0
401628465,Maryland,24.0,Michigan State,27.0
401643710,Wyoming,13.0,Idaho,17.0
401628464,Iowa,19.0,Iowa State,20.0
401628337,Auburn,14.0,California,21.0
401628977,Notre Dame,14.0,Northern Illinois,16.0
401643781,Ohio,27.0,South Alabama,20.0
401643778,Old Dominion,14.0,East Carolina,20.0
401643777,James Madison,13.0,Gardner-Webb,6.0
401643708,Nevada,17.0,Georgia Southern,20.0
401628462,Illinois,23.0,Kansas,17.0
401632459,Georgia State,24.0,Chattanooga,21.0
401635639,Wake Forest,30.0,Virginia,31.0
401643779,Arkansas State,28.0,Tulsa,24.0
401628345,Oklahoma,16.0,Houston,12.0
401632072,UTEP,24.0,Southern Utah,27.0
401628469,Oregon,37.0,Boise State,34.0
401640989,New Mexico State,24.0,Liberty,30.0
401628343,Arizona State,30.0,Mississippi State,23.0
401636867,Texas State,28.0,Arizona State,31.0
401636863,Kansas,20.0,UNLV,23.0
401635542,Florida State,12.0,Memphis,20.0
401628359,South Carolina,33.0,LSU,36.0
401628357,Missouri,27.0,Boston College,21.0
401643786,Temple,20.0,Coastal Carolina,28.0
401635547,Pittsburgh,38.0,West Virginia,34.0
401628484,Washington,19.0,Washington State,24.0
401643785,East Carolina,19.0,App State,21.0
401629030,Duke,26.0,UConn,21.0
