Id,Season,HomeTeam,HomePoints,AwayTeam,AwayPoints,PointDiff
401014972,2018,Rice,31,Prairie View A&M,28,3
401021651,2018,Georgia State,24,Kennesaw State,20,4
401013086,2018,Tulane,17,Wake Forest,23,6
401013342,2018,Purdue,27,Northwestern,31,4
401021655,2018,UL Monroe,34,SE Louisiana,31,3
401022511,2018,San José State,38,UC Davis,44,6
401012880,2018,Michigan State,38,Utah State,31,7
401012872,2018,Maryland,34,Texas,29,5
401019473,2018,Temple,17,Villanova,19,2
401012804,2018,Illinois,31,Kent State,24,7
401020675,2018,Ohio,38,Howard,32,6
401013349,2018,Penn State,45,App State,38,7
401012248,2018,Auburn,21,Washington,16,5
401012684,2018,California,24,North Carolina,17,7
401014975,2018,Miami (OH),28,Marshall,35,7
401013048,2018,Kansas,23,Nicholls,26,3
401013057,2018,Kansas State,27,South Dakota,24,3
401014974,2018,South Alabama,26,Louisiana Tech,30,4
401012888,2018,Notre Dame,24,Michigan,17,7
401012676,2018,Arizona,23,BYU,28,5
401079833,2018,East Carolina,23,North Carolina A&T,28,5
401013352,2018,Purdue,19,Eastern Michigan,20,1
401014983,2018,Florida Atlantic,33,Air Force,26,7
401019479,2018,Navy,22,Memphis,21,1
401013377,2018,Notre Dame,24,Ball State,16,8
401012729,2018,Nebraska,28,Colorado,33,5
401019478,2018,Temple,29,Buffalo,36,7
401012270,2018,Texas A&M,26,Clemson,28,2
401014989,2018,Southern Miss,20,UL Monroe,21,1
401013329,2018,Minnesota,21,Fresno State,14,7
401014992,2018,Western Kentucky,28,Maine,31,3
401012852,2018,Indiana,20,Virginia,16,4
401014982,2018,Old Dominion,20,Florida International,28,8
401012261,2018,Colorado State,34,Arkansas,27,7
401013319,2018,Texas,28,Tulsa,21,7
401012735,2018,BYU,18,California,21,3
401012727,2018,Arizona State,16,Michigan State,13,3
401014993,2018,Charlotte,28,Old Dominion,25,3
401013109,2018,Wake Forest,34,Boston College,41,7
401019486,2018,UConn,56,Rhode Island,49,7
401013337,2018,Nebraska,19,Troy,24,5
401013368,2018,Army,28,Hawai'i,21,7
401013112,2018,Pittsburgh,24,Georgia Tech,19,5
401014996,2018,UAB,31,Tulane,24,7
401012283,2018,Notre Dame,22,Vanderbilt,17,5
401012806,2018,Illinois,19,South Florida,25,6
401020679,2018,Northern Illinois,24,Central Michigan,16,8
401012273,2018,Auburn,21,LSU,22,1
401013356,2018,Wisconsin,21,BYU,24,3
401020681,2018,Bowling Green,42,Eastern Kentucky,35,7
401022520,2018,Wyoming,17,Wofford,14,3
401020682,2018,Buffalo,35,Eastern Michigan,28,7
401012744,2018,Nevada,37,Oregon State,35,2
401012279,2018,Purdue,37,Missouri,40,3
401013343,2018,Northwestern,34,Akron,39,5
401013113,2018,Louisville,20,Western Kentucky,17,3
401012738,2018,San Diego State,28,Arizona State,21,7
401012748,2018,USC,39,Washington State,36,3
