,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
0,0,401110723,2019,1,regular,2019-08-24T23:00:00.000Z,False,True,True,False,66543,4013,Camping World Stadium,57,Florida,fbs,SEC,24,"[7, 0, 10, 7]",0.9059534582132264,1683.0,1688.0,2390,Miami,fbs,ACC,20,"[3, 10, 0, 7]",0.0940465417867735,1611.0,1606.0,8.7679102419,https://www.youtube.com/watch?v=WeJi4p0jqXA,CAMPING WORLD KICKOFF,4,True
1,1,401114164,2019,1,regular,2019-08-25T02:30:00.000Z,False,True,False,False,22396,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,45,"[14, 14, 7, 10]",0.6886295726282241,1281.0,1302.0,12,Arizona,fbs,Pac-12,38,"[0, 21, 14, 3]",0.3113704273717759,1467.0,1446.0,7.84241686779999,https://www.youtube.com/watch?v=eJI8vkRqz0o,,7,True
3,3,401117855,2019,1,regular,2019-08-29T23:00:00.000Z,False,True,False,False,19648,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,24,"[7, 3, 14, 0]",0.7289421137835537,,,2681,Wagner,fcs,NEC,21,"[0, 0, 14, 7]",0.2710578862164463,,,1.83435076049999,https://www.youtube.com/watch?v=qkIibi3TYF8,,3,True
8,8,401114246,2019,1,regular,2019-08-29T23:30:00.000Z,False,True,False,False,17120,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,28,"[14, 7, 7, 0]",0.0861674673352279,,,2110,Central Arkansas,fcs,Southland,35,"[0, 14, 0, 21]",0.913832532664772,,,4.1608351506,https://www.youtube.com/watch?v=dgeUCVz-0hA,,-7,True
10,10,401114237,2019,1,regular,2019-08-30T00:00:00.000Z,False,True,False,False,39165,3803,Legion Field,5,UAB,fbs,Conference USA,24,"[14, 10, 0, 0]",0.808822993632232,,,2011,Alabama State,fcs,SWAC,19,"[13, 0, 6, 0]",0.191177006367768,,,1.8230200516,https://www.youtube.com/watch?v=euB43slXeBY,,5,True
14,14,401112229,2019,1,regular,2019-08-30T01:00:00.000Z,False,True,False,False,49112,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,28,"[0, 13, 7, 8]",0.7079013302374422,,,2571,South Dakota State,fcs,MVFC,21,"[0, 7, 14, 0]",0.2920986697625578,,,4.590705268,https://www.youtube.com/watch?v=sS3pH7mygOE,,7,True
18,18,401114238,2019,1,regular,2019-08-30T22:00:00.000Z,False,True,False,False,23238,3841,Michie Stadium,349,Army,fbs,FBS Independents,14,"[0, 7, 0, 7]",0.9977163776799016,1745.0,1727.0,242,Rice,fbs,Conference USA,7,"[0, 7, 0, 0]",0.0022836223200982,1185.0,1203.0,3.5848448091,https://www.youtube.com/watch?v=kZEGnkMiT3c,,7,True
22,22,401112430,2019,1,regular,2019-08-31T00:00:00.000Z,False,True,False,False,29027,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,38,"[10, 7, 14, 7]",0.8952229284457609,1579.0,1582.0,328,Utah State,fbs,Mountain West,35,"[7, 14, 7, 7]",0.1047770715542391,1731.0,1728.0,10.4697882233999,https://www.youtube.com/watch?v=ds1IiI9JHro,,3,True
23,23,401112262,2019,1,regular,2019-08-31T01:30:00.000Z,False,True,False,False,20144,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,34,"[0, 7, 10, 17]",0.8259196212435224,1462.0,1464.0,2509,Purdue,fbs,Big Ten,31,"[10, 14, 7, 0]",0.1740803787564776,1507.0,1505.0,5.3196804281,https://www.youtube.com/watch?v=qShnihr1-Ww,,3,True
26,26,401110726,2019,1,regular,2019-08-31T16:00:00.000Z,False,True,False,False,44107,3805,Simmons Bank Liberty Stadium,235,Memphis,fbs,American Athletic,15,"[7, 6, 0, 2]",0.9225375975622911,1622.0,1621.0,145,Ole Miss,fbs,SEC,10,"[0, 0, 3, 7]",0.0774624024377088,1477.0,1478.0,5.0956587043,https://www.youtube.com/watch?v=yQbjA_IX3io,,5,True
