,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
2,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
4,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
6,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
8,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
10,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
12,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
14,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
16,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
18,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
20,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
22,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
24,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
26,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
28,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
30,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
32,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
34,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
36,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
38,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
40,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
42,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
44,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
46,401110723,Miami,2390,loser,20,20.0,0.14285714285714285,0.0,301.0,214.0,0.6333333333333333,7.1,87.0,36.0,2.4,14,118,1.0,1.0,0.0,36:13
48,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
50,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
52,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
54,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
56,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
58,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
60,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
62,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
64,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
66,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
68,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
70,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
72,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
74,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
76,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
78,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
80,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
82,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
84,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
86,401114164,Arizona,12,loser,38,27.0,0.2727272727272727,0.0,539.0,361.0,0.5641025641025641,9.3,178.0,32.0,5.6,10,88,2.0,0.0,2.0,22:04
