,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
2,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
4,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
6,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
8,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
10,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
12,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
14,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
16,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
18,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
20,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
22,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
24,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
26,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
28,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
30,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
32,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
34,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
36,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
38,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
