,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
1,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
3,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
5,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
7,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
9,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
11,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
13,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
15,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
17,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
19,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
21,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
23,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
25,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
27,401635525,Georgia Tech,59,winner,24,18.0,0.5555555555555556,0.0,336.0,146.0,0.6875,9.1,190.0,36.0,5.3,3,35,0.0,0.0,0.0,29:21
28,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
30,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
32,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
34,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
36,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
38,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
40,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
42,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
44,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
46,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
48,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
50,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
52,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
54,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
56,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
58,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
60,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
62,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
64,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
66,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
68,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
70,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
72,401643697,Montana St,147,winner,35,27.0,0.5,0.0,567.0,205.0,0.65625,6.4,362.0,47.0,7.7,6,72,2.0,2.0,0.0,34:40
74,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
76,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
78,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
80,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
82,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
84,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
86,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
88,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
90,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
92,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
94,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
96,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
98,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
100,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
102,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
104,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
106,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
108,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
110,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
112,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
114,401643696,SMU,2567,winner,29,22.0,0.4166666666666667,0.0,408.0,308.0,0.6,8.8,100.0,34.0,2.9,11,125,1.0,0.0,1.0,23:43
