,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
1,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
3,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
5,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
7,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
9,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
11,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
13,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
15,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
17,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
19,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
21,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
23,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
25,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
27,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
29,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
31,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
33,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
35,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
37,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
39,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
41,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
43,401520145,Jax State,55,winner,17,15.0,0.4375,0.5,275.0,67.0,0.5,3.4,208.0,44.0,4.7,4,52,0.0,0.0,0.0,25:22
45,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
47,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
49,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
51,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
53,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
55,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
57,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
59,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
61,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
63,401532392,San Diego St,21,winner,20,16.0,0.25,0.5,318.0,164.0,0.6428571428571429,5.9,154.0,31.0,5.0,6,57,1.0,1.0,0.0,27:24
