,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
0,401525434,2023,1,regular,2023-08-26T18:30:00.000Z,False,True,True,False,49000.0,3504,Aviva Stadium,87,Notre Dame,fbs,FBS Independents,42,"[14, 14, 7, 7]",0.998958343504533,1733,1819,2426,Navy,fbs,American Athletic,3,"[0, 0, 0, 3]",0.0010416564954669472,1471.0,1385.0,1.3469076611,,
1,401520145,2023,1,regular,2023-08-26T21:30:00.000Z,False,True,False,True,17982.0,3662,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,17,"[3, 7, 7, 0]",0.40800060036319785,1500,1499,2638,UTEP,fbs,Conference USA,14,"[0, 7, 0, 7]",0.5919993996368021,1369.0,1370.0,6.8213333937,,
2,401532392,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,23867.0,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,20,"[3, 7, 0, 10]",0.9544687299546838,1488,1497,195,Ohio,fbs,Mid-American,13,"[3, 3, 0, 7]",0.04553127004531621,1482.0,1473.0,6.5473781337,,
3,401525450,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,15356.0,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,30,"[0, 10, 0, 20]",0.23924886339745693,1322,1274,113,Massachusetts,fbs,FBS Independents,41,"[7, 3, 3, 28]",0.760751136602543,1074.0,1122.0,5.311493375,,
4,401520147,2023,1,regular,2023-08-26T23:30:00.000Z,False,True,False,False,21407.0,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,35,"[14, 7, 7, 7]",0.18084618805030608,1322,1327,62,Hawai'i,fbs,Mountain West,28,"[7, 7, 0, 14]",0.8191538119496939,1246.0,1241.0,5.2820326034,,
5,401523986,2023,1,regular,2023-08-27T00:00:00.000Z,False,True,False,False,63411.0,477,Los Angeles Memorial Coliseum,30,USC,fbs,Pac-12,56,"[7, 14, 21, 14]",0.9982308679413001,1663,1713,23,San José State,fbs,Mountain West,28,"[0, 14, 7, 7]",0.0017691320586998849,1462.0,1412.0,1.6987296464,,
6,401520146,2023,1,regular,2023-08-27T01:00:00.000Z,False,True,False,True,16299.0,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,22,"[0, 13, 0, 9]",0.9857287782801066,1251,1249,2229,Florida International,fbs,Conference USA,17,"[14, 3, 0, 0]",0.014271221719893368,1072.0,1074.0,8.9977661071,,
7,401531834,2023,1,regular,2023-08-31T23:00:00.000Z,False,True,False,False,15546.0,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,42,"[14, 7, 14, 7]",0.9688016320131437,1490,1490,227,Rhode Island,fcs,CAA,35,"[0, 14, 14, 7]",0.031198367986856268,,,6.8861501661,,
8,401525816,2023,1,regular,2023-08-31T23:00:00.000Z,False,True,False,False,44088.0,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,56,"[14, 14, 14, 14]",0.9989059988666029,1534,1668,2309,Kent State,fbs,Mid-American,6,"[3, 0, 3, 0]",0.0010940011333970823,1396.0,1262.0,1.3468100629,,
9,401525461,2023,1,regular,2023-08-31T23:00:00.000Z,False,True,False,False,30028.0,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,37,"[10, 14, 6, 7]",0.9883751085572094,1608,1608,2210,Elon,fcs,CAA,17,"[0, 0, 14, 3]",0.011624891442790553,,,3.4579971028,,
