,Game ID,thirdDownEff,completionAttempts,yardsPerPass,rushingYards
1538,401554566,0.3333333333333333,0.4117647058823529,5.4,144.0
1541,401551788,0.3636363636363636,0.5581395348837209,7.4,180.0
1540,401551786,0.2307692307692307,0.6956521739130435,5.0,172.0
1539,401551778,0.4,0.675,9.5,128.0
1537,401551766,0.3636363636363636,0.5714285714285714,10.9,92.0
1536,401551762,0.3333333333333333,0.6451612903225806,5.8,130.0
1534,401551756,0.3076923076923077,0.5526315789473685,5.8,82.0
1528,401551751,0.3125,0.4814814814814814,5.7,92.0
1535,401551749,0.3636363636363636,0.6,10.6,73.0
1533,401551744,0.3333333333333333,0.6428571428571429,5.2,138.0
1532,401551741,0.5,0.5333333333333333,8.3,101.0
1531,401551739,0.25,0.5789473684210527,6.3,89.0
1529,401551731,0.2727272727272727,0.6,4.4,183.0
1530,401551469,0.5,0.5909090909090909,5.6,196.0
1526,401539483,0.3333333333333333,0.7241379310344828,8.4,78.0
1525,401539475,0.3,0.6176470588235294,7.0,124.0
1501,401532629,0.4117647058823529,0.3863636363636363,4.6,337.0
1514,401532628,0.4545454545454545,0.6551724137931034,7.9,182.0
1524,401532626,0.5333333333333333,0.6842105263157895,8.3,108.0
1502,401532625,0.3571428571428571,0.4444444444444444,7.3,206.0
1488,401532624,0.2142857142857142,0.3333333333333333,6.7,344.0
1499,401532622,0.3076923076923077,0.5625,6.1,34.0
1469,401532617,0.3571428571428571,0.76,5.1,145.0
1447,401532612,0.3888888888888889,0.65,6.6,121.0
1451,401532608,0.5,0.5217391304347826,6.8,177.0
1421,401532606,0.5,0.6,7.7,156.0
1404,401532601,0.0,0.4285714285714285,3.4,157.0
1399,401532599,0.4375,0.6363636363636364,7.1,137.0
1375,401532598,0.6,0.6,8.5,109.0
1377,401532595,0.5,0.6041666666666666,8.9,53.0
1363,401532594,0.2307692307692307,0.575,9.1,205.0
1376,401532593,0.3636363636363636,0.625,5.8,246.0
1358,401532592,0.3333333333333333,0.6052631578947368,8.6,104.0
1357,401532591,0.4666666666666667,0.6521739130434783,6.2,38.0
1291,401532583,0.5384615384615384,0.7391304347826086,11.9,166.0
1270,401532574,0.3888888888888889,0.5869565217391305,5.1,133.0
1249,401532571,0.4666666666666667,0.492063492063492,5.1,22.0
1503,401532454,0.1538461538461538,0.7368421052631579,4.8,274.0
1474,401532445,0.631578947368421,0.7419354838709677,7.7,75.0
1473,401532443,0.3529411764705882,0.5652173913043478,6.7,95.0
1453,401532437,0.3,0.5357142857142857,5.0,174.0
1424,401532436,0.3571428571428571,0.6521739130434783,10.0,117.0
1423,401532435,0.5333333333333333,0.4736842105263157,3.5,217.0
1422,401532433,0.0,0.5714285714285714,8.5,208.0
1385,401532428,0.2727272727272727,0.7142857142857143,6.9,79.0
1396,401532427,0.4666666666666667,0.4722222222222222,5.6,97.0
1387,401532426,0.5,0.5384615384615384,5.8,106.0
1389,401532425,0.2307692307692307,0.6129032258064516,5.2,99.0
1368,401532420,0.2307692307692307,0.4705882352941176,3.6,70.0
